.imp	.id	ParentModel	ParentControl	ParentUtts3	ParentResponse	ChildSpecComps	ChildProd1	ChildProd2	p_iq	c_58_cwt	p_resp_mlu	LogParentModel	LogParentControl	LogChildSpec	LogChildProd2
3	25	18	25	5743	1	38	0	13	112	1431	4.32892874	2.944438979	3.258096538	3.663561646	2.63905733
3	26	2	0	471	0	2	1	1	81	661	4.427350427	1.098612289	0	1.098612289	0.693147181
3	27	3	7	2985	1	7	1	5	120	574	4.355744681	1.386294361	2.079441542	2.079441542	1.791759469
3	28	4	6	2598	1	13	1	3	124	939	4.706896552	1.609437912	1.945910149	2.63905733	1.386294361
3	29	4	16	3200	0	2	0	1	114	964	4.540489642	1.609437912	2.833213344	1.098612289	0.693147181
3	30	25	23	5994	1	4	0	0	112	915	4.52948801	3.258096538	3.17805383	1.609437912	0
3	31	2	4	1759	0	13	0	2	117	1043	4.066787004	1.098612289	1.609437912	2.63905733	1.098612289
3	32	9	26	4511	0	28	1	3	117	1761	3.585662211	2.302585093	3.295836866	3.36729583	1.386294361
3	33	6	17	4135	1	28	0	10	102	1209	4.636730575	1.945910149	2.890371758	3.36729583	2.397895273
3	34	9	29	4089	1	9	0	5	110	992	4.609737828	2.302585093	3.401197382	2.302585093	1.791759469
3	35	11	16	4166	0	13	3	7	115	1459	4.314119171	2.48490665	2.833213344	2.63905733	2.079441542
3	36	5	12	3657	0	5	0	1	101	996	4.118421053	1.791759469	2.564949357	1.791759469	0.693147181
3	37	3	8	2844	0	5	2	3	75	1179	3.987912973	1.386294361	2.197224577	1.791759469	1.386294361
3	38	3	10	3698	1	12	1	4	107	1176	3.468122271	1.386294361	2.397895273	2.564949357	1.609437912
3	39	13	5	2714	0	18	4	12	104	847	4.685121107	2.63905733	1.791759469	2.944438979	2.564949357
3	40	4	1	4837	1	7	0	0	119	1116	4.073876618	1.609437912	0.693147181	2.079441542	0
3	41	2	3	1000	0	13	2	3	113	1027	3.540983607	1.098612289	1.386294361	2.63905733	1.386294361
3	42	2	8	2263	0	12	0	2	113	1090	4.489830508	1.098612289	2.197224577	2.564949357	1.098612289
4	1	7	21	2795	1	9	0	1	104	1441	3.87295082	2.079441542	3.091042453	2.302585093	0.693147181
4	2	6	8	2602	0	11	1	7	113	974	3.551775148	1.945910149	2.197224577	2.48490665	2.079441542
4	3	15	18	5829	0	18	2	11	108	1139	4.332556785	2.772588722	2.944438979	2.944438979	2.48490665
4	4	10	10	4344	0	3	0	0	125	825	4.089005236	2.397895273	2.397895273	1.386294361	0
4	5	4	3	2410	1	2	1	1	95	968	4.584415584	1.609437912	1.386294361	1.098612289	0.693147181
4	6	4	1	3173	0	3	0	0	93	1196	3.454545455	1.609437912	0.693147181	1.386294361	0
4	7	2	7	2638	0	10	0	1	115	1446	3.841101695	1.098612289	2.079441542	2.397895273	0.693147181
4	8	4	3	1870	1	4	0	0	100	1067	4.125703565	1.609437912	1.386294361	1.609437912	0
4	9	2	3	2157	1	20	0	2	86	1443	3.976623377	1.098612289	1.386294361	3.044522438	1.098612289
4	10	22	11	2664	0	8	0	2	112	1129	4.476847291	3.135494216	2.48490665	2.197224577	1.098612289
4	11	3	2	3835	0	25	4	4	101	1257	3.188709677	1.386294361	1.098612289	3.258096538	1.609437912
4	12	4	9	2694	0	12	0	5	96	1278	3.944979367	1.609437912	2.302585093	2.564949357	1.791759469
4	13	9	14	3749	0	7	0	0	107	1311	5.162255466	2.302585093	2.708050201	2.079441542	0
4	14	0	5	2846	0	9	0	2	114	1412	4.141909814	0	1.791759469	2.302585093	1.098612289
4	15	6	12	3914	1	19	1	12	104	1508	4.872053872	1.945910149	2.564949357	2.995732274	2.564949357
4	16	0	1	865	0	16	0	2	92	1193	3.120253165	0	0.693147181	2.833213344	1.098612289
4	17	2	8	4196	0	18	1	11	108	1534	4.022222222	1.098612289	2.197224577	2.944438979	2.48490665
4	18	0	1	1284	0	5	0	3	106	840	4.14732965	0	0.693147181	1.791759469	1.386294361
4	19	2	0	1602	0	0	0	0	100	664	2.996422182	1.098612289	0	0	0
4	20	6	11	3230	1	33	0	8	134	1328	5.42614601	1.945910149	2.48490665	3.526360525	2.197224577
4	21	4	4	3301	1	10	1	1	108	836	3.727915194	1.609437912	1.609437912	2.397895273	0.693147181
4	22	7	4	4859	0	18	1	1	123	859	3.996226415	2.079441542	1.609437912	2.944438979	0.693147181
4	23	5	4	2177	0	5	0	1	90	1167	3.058823529	1.791759469	1.609437912	1.791759469	0.693147181
4	24	6	5	1117	1	15	1	5	123	1131	4.285132383	1.945910149	1.791759469	2.772588722	1.791759469
4	25	18	25	5743	1	38	0	13	112	1431	4.32892874	2.944438979	3.258096538	3.663561646	2.63905733
4	26	2	0	471	0	2	1	11	81	661	4.427350427	1.098612289	0	1.098612289	2.48490665
4	27	3	7	2985	1	7	1	5	120	574	4.355744681	1.386294361	2.079441542	2.079441542	1.791759469
4	28	4	6	2598	1	13	1	3	124	939	4.706896552	1.609437912	1.945910149	2.63905733	1.386294361
4	29	4	16	3200	0	2	0	1	114	964	4.540489642	1.609437912	2.833213344	1.098612289	0.693147181
