"Count"	"Time"	"LogCount"	"newIDs"
7.8	0	2.17475172148416	1
4.666667	0	1.73460111421163	2
14.166667	0	2.71910005926682	3
7.125	0	2.0949457282158	4
2.25	0	1.17865499634165	5
2	0	1.09861228866811	6
7.833333	0	2.17853240658822	7
2	0	1.09861228866811	8
4	0	1.6094379124341	9
11.166667	0	2.4986999993176	10
1	0	0.693147180559945	11
8.428571	0	2.24374454751657	12
7.666667	0	2.15948428781491	13
3.6	0	1.52605630349505	14
6	0	1.94591014905531	15
1	0	0.693147180559945	16
8.333333	0	2.23359218579281	17
2.111111	0	1.1349798971247	18
1	0	0.693147180559945	19
5.666667	0	1.89712003488588	20
8	0	2.19722457733622	21
3.666667	0	1.54044511237572	22
2.714286	0	1.31218646588924	23
6.833333	0	2.05838808992881	24
14.8	0	2.76000994003292	25
0.666667	0	0.510825823765971	26
9.375	0	2.33939906611676	27
5	0	1.79175946922805	28
7.888889	0	2.18480206983766	29
14.142857	0	2.71752893562279	30
3.142857	0	1.4213856464484	31
10.25	0	2.42036812865043	32
7.666667	0	2.15948428781491	33
11.6	0	2.53369681395743	34
11.5	0	2.52572864430826	35
11.375	0	2.51567830845475	36
4.166667	0	1.64222779977322	37
4.6	0	1.7227665977411	38
4.625	0	1.72722094809048	39
2	0	1.09861228866811	40
6.6	0	2.02814824729229	41
6	0	1.94591014905531	42
14.285714	1	2.726918666715	1
13	1	2.63905732961526	2
18.5	1	2.9704144655697	3
18.5	1	2.9704144655697	4
11.125	1	2.49526943682355	5
2.4	1	1.22377543162212	6
11	1	2.484906649788	7
0.833333	1	0.606135621752117	8
8.75	1	2.27726728500976	9
22.666667	1	3.16406760245771	10
15.142857	1	2.78147766080747	11
14.8	1	2.76000994003292	12
6.555556	1	2.02228318666342	13
4.285714	1	1.66500770953486	14
13.222222	1	2.6548056709584	15
5.6	1	1.88706964903238	16
12	1	2.56494935746154	17
3	1	1.38629436111989	18
NA	1	NA	19
13.444444	1	2.67030984235013	20
4.142857	1	1.63760876162302	21
16.555556	1	2.8653704810072	22
2	1	1.09861228866811	23
10.333333	1	2.42774820653629	24
34.285714	1	3.5634781794755	25
0.333333	1	0.28768182245175	26
15	1	2.77258872223978	27
12.166667	1	2.57768840855542	28
7.333333	1	2.12026349620009	29
18.6	1	2.97552956623647	30
4.8	1	1.75785791755237	31
20.25	1	3.05635689537043	32
7.555556	1	2.14658089646551	33
14	1	2.70805020110221	34
12.875	1	2.6300886596325	35
7.75	1	2.16905370036952	36
9.166667	1	2.31911442773214	37
14.857143	1	2.76362006126603	38
16	1	2.83321334405622	39
12.375	1	2.59338729278207	40
7.428571	1	2.13162724400295	41
29.666667	1	3.4231762992505	42
