"Count"	"Time"	"newIDs"	"LogCount"
4.666667	"0"	1	1.73460111421163
1	"0"	2	0.693147180559945
3	"0"	3	1.38629436111989
1.666667	"0"	4	0.980829378011718
1.333333	"0"	5	0.847297717530051
0.333333	"0"	6	0.28768182245175
0.333333	"0"	7	0.28768182245175
3	"0"	8	1.38629436111989
3.666667	"0"	9	1.54044511237572
2.666667	"0"	10	1.29928307503935
4.666667	"0"	11	1.73460111421163
4	"0"	12	1.6094379124341
1.333333	"0"	13	0.847297717530051
2.333333	"0"	14	1.20397270432593
2	"0"	15	1.09861228866811
3	"0"	16	1.38629436111989
5	"0"	17	1.79175946922805
2	"0"	18	1.09861228866811
2.333333	"0"	19	1.20397270432593
2	"0"	20	1.09861228866811
3.666667	"0"	21	1.54044511237572
2.666667	"0"	22	1.29928307503935
7.666667	"0"	23	2.15948428781491
0.666667	"0"	24	0.510825823765971
4	"0"	25	1.6094379124341
0.666667	"0"	26	0.510825823765971
2.333333	"0"	27	1.20397270432593
1.333333	"0"	28	0.847297717530051
0.666667	"0"	29	0.510825823765971
0.666667	"0"	30	0.510825823765971
3.333333	"0"	31	1.46633699187035
3	"0"	32	1.38629436111989
2.333333	"0"	33	1.20397270432593
4.333333	"0"	34	1.67397637107167
1.333333	"0"	35	0.847297717530051
2	"0"	36	1.09861228866811
1	"0"	37	0.693147180559945
5.666667	"1"	1	1.89712003488588
3.333333	"1"	2	1.46633699187035
6	"1"	3	1.94591014905531
4	"1"	4	1.6094379124341
0.333333	"1"	5	0.28768182245175
1	"1"	6	0.693147180559945
1.666667	"1"	7	0.980829378011718
3.333333	"1"	8	1.46633699187035
2.333333	"1"	9	1.20397270432593
5	"1"	10	1.79175946922805
6.666667	"1"	11	2.0368819707393
4.666667	"1"	12	1.73460111421163
2.333333	"1"	13	1.20397270432593
4.666667	"1"	14	1.73460111421163
2.333333	"1"	15	1.20397270432593
7.666667	"1"	16	2.15948428781491
7.666667	"1"	17	2.15948428781491
8.666667	"1"	18	2.26868357580112
2.333333	"1"	19	1.20397270432593
6.666667	"1"	20	2.0368819707393
3.666667	"1"	21	1.54044511237572
7	"1"	22	2.07944154167984
6.333333	"1"	23	1.99243011923566
2.333333	"1"	24	1.20397270432593
2.333333	"1"	25	1.20397270432593
1.333333	"1"	26	0.847297717530051
2.666667	"1"	27	1.29928307503935
5	"1"	28	1.79175946922805
7.666667	"1"	29	2.15948428781491
3.666667	"1"	30	1.54044511237572
2	"1"	31	1.09861228866811
2	"1"	32	1.09861228866811
6	"1"	33	1.94591014905531
2.666667	"1"	34	1.29928307503935
2	"1"	35	1.09861228866811
3.666667	"1"	36	1.54044511237572
4	"1"	37	1.6094379124341
